misparmb,persons_count,c3_actual,c30_actual,c31_actual,c32_actual,c33_actual,c34_actual,c35_actual,c36_actual,c37_actual,c38_actual,c39_actual,food_actual,nonfood_actual,FoodNorm-active
18,3,10864,676,388,5147,1436,0,0,739,720,1757,0,1064,9799,3171.3285183330
34,4,10101,2084,272,2811,650,0,0,1503,698,975,1108,2356,7745,3409.1781572080
42,2,12852,1126,611,5176,1052,30,0,2403,344,1929,181,1737,11115,1982.0803239582
59,5,19979,3150,648,4219,1128,0,251,7902,1634,1046,0,3798,16180,5153.4088422912
67,1,3937,0,109,3183,306,0,0,148,0,191,0,109,3828,1109.9649814166
75,4,12627,3020,223,3916,1430,100,0,1497,1583,859,0,3243,9385,3805.5942219997
83,2,12434,2855,204,3210,2943,128,0,514,267,1911,401,3059,9374,1982.0803239582
91,2,11557,0,0,4645,2091,0,0,547,284,3990,0,0,11557,1982.0803239582
109,2,8612,675,79,3183,880,0,602,542,301,2349,0,754,7857,1982.0803239582
117,2,6600,1763,608,2251,296,89,0,469,592,531,0,2371,4228,1982.0803239582
125,1,7868,1064,231,3230,102,521,837,250,300,287,1046,1295,6573,872.1153425416
133,4,6469,1080,144,1606,508,59,201,388,1551,844,87,1224,5244,3647.0277960830
141,3,7164,294,242,2912,382,175,201,62,1362,648,886,536,6628,2854.1956664997
158,2,12376,5012,0,2510,771,27,0,150,862,2626,418,5012,7364,2378.4963887498
166,2,6441,1253,418,84,647,167,394,62,831,2586,0,1671,4771,2140.6467498748
174,1,2582,293,61,1606,98,0,0,71,234,219,0,354,2228,1109.9649814166
182,4,9482,4292,780,0,422,133,0,0,3614,241,0,5072,4410,4756.9927774996
190,1,4151,870,240,201,879,0,1114,257,0,298,292,1110,3041,872.1153425416
208,2,18268,1457,1068,5442,3384,180,703,449,3582,1328,675,2525,15743,1982.0803239582
216,5,15749,809,349,5382,1948,532,502,1593,1844,1517,1274,1158,14592,4677.7095645412
224,3,51256,4206,645,5513,3647,198,0,3107,2299,30129,1512,4851,46405,2854.1956664997
232,3,12476,1355,140,5442,3230,191,119,1,411,1027,558,1495,10979,2933.4788794581
240,5,22560,2618,0,5449,7554,164,0,213,3546,2303,714,2618,19943,4677.7095645412
257,5,19325,1693,223,5452,2585,763,48,494,5337,2406,326,1916,17411,3884.8774349580
265,3,8312,2628,340,3011,903,33,150,0,742,504,0,2968,5343,2616.3460276248
273,1,6403,1613,259,2309,751,70,0,530,459,411,0,1872,4530,872.1153425416
281,1,3103,1137,109,1004,135,0,0,432,185,101,0,1246,1857,1109.9649814166
299,1,2175,548,79,1004,135,0,0,109,185,115,0,627,1548,872.1153425416
307,1,6389,141,0,1943,2568,0,0,1303,186,90,157,141,6247,1109.9649814166
315,1,8232,678,0,3395,1183,83,361,1009,1256,113,152,678,7552,872.1153425416
