Family Composition,Is Sedentary,ZL,ZU,Mean Expenditures,Median Expenditures,Mean Food Expenditures,Median Food Expenditures,Food Expense Ratio (%),Food Norm,Poverty Rate (%),Poverty Gap,Poverty Severity,Count
Active: 50+:1.0M+1.0F,False,7197.8969428,11365.7248148,1982.08,1982.08,4410.907438016529,3940.0,222.53932424607123,4202.01,0.0,0,0,605
Active: 50+:1.0F,False,5549.5140443,7804.1028032,872.1199999999999,872.12,4371.305466237942,3819.0,501.22752215726524,3171.33,0.0,0,0,311
Active: 50+:1.0M,False,6546.020140999999,6658.6274957000005,1109.96,1109.96,4463.489051094891,3989.0,402.1306219228522,3567.74,0.0,0,0,137
"Active: 18-29:1.0M, 50+:1.0M+1.0F",False,5396.98748166,14874.2940947,3171.329999999999,3171.33,4322.974683544304,3996.0,136.31424933842592,3329.89,0.0,0,0,79
Active: 30-49:1.0M,False,8233.8414882,7299.0877762,1189.25,1189.25,4578.4029850746265,4033.0,384.982382600347,4281.29,0.0,0,0,67
Active: 30-49:1.0M+1.0F,False,1908.7853874000002,13004.1837364,2061.36,2061.36,4458.782608695652,3694.5,216.30295575230193,1506.38,0.0,0,0,46
Active: 18-29:1.0M+1.0F,False,2490.57373396,11057.2052308,2140.649999999999,2140.65,3698.8478260869565,3440.0,172.7908731500692,1506.38,0.0,0,0,46
Active: 18-29:1.0F,False,7304.2431951,7548.6359509,951.4000000000001,951.4,3799.6744186046512,3402.0,399.3771724411028,3884.88,0.0,0,0,43
"Active: 30-49:1.0M, 50+:1.0M+1.0F",False,2288.6411884999998,15567.8071069,3171.3299999999995,3171.33,4582.119047619048,4357.5,144.48572200367187,1823.51,0.0,0,0,42
"Active: 18-29:1.0F, 50+:1.0M+1.0F",False,3737.5428954,15817.355281600001,2933.48,2933.48,4152.0,4259.0,141.5383776265732,2616.35,0.0,0,0,41
Active: 30-49:1.0F,False,6025.2011417,8802.1014443,872.1199999999999,872.12,4116.85294117647,3803.0,472.05120180439275,3488.46,0.0,0,0,34
"Active: 30-49:1.0F, 50+:1.0F",False,1444.3779435000001,13509.198763400002,1744.230000000001,1744.23,3744.0,3791.0,214.65059080511168,1506.38,0.0,0,0,31
"Active: 0-4:1.0M, 30-49:1.0M+1.0F",False,7521.27014154,14782.503484300001,2616.3500000000004,2616.35,3834.9333333333334,3382.5,146.57570024397856,4360.58,0.0,0,0,30
"Active: 0-4:1.0M+1.0F, 30-49:1.0M+1.0F",False,3013.95190424,17388.1004768,3171.3300000000004,3171.33,5546.678571428572,4631.0,174.9007063733062,2299.21,0.0,0,0,28
"Active: 30-49:1.0F, 50+:1.0M",False,5453.664040199999,12363.7234559,1982.0800000000002,1982.08,3881.346153846154,3678.5,195.82187166240286,3409.18,0.0,0,0,26
"Active: 0-4:1.0F, 30-49:1.0M+1.0F",False,4378.4071501,15609.7807289,2616.35,2616.35,3559.3333333333335,3776.0,136.04194138144106,2933.48,0.0,0,0,24
"Active: 18-29:1.0F, 30-49:1.0M",False,2553.5474408,11750.718243000001,2140.65,2140.65,4517.791666666667,4214.0,211.04765686434806,1585.66,0.0,0,0,24
"Active: 30-49:1.0F, 50+:1.0M+1.0F",False,1189.9608420000002,17070.820775,2854.199999999999,2854.2,4957.869565217391,4522.0,173.70435026337998,1585.66,0.0,0,0,23
"Active: 18-29:1.0M+1.0F, 50+:1.0M+1.0F",False,1619.4934342600002,19325.9245615,4122.729999999999,4122.73,4205.772727272727,3942.0,102.01426548119153,1585.66,0.0,0,0,22
Active: 18-29:1.0M,False,8488.00778136,6605.574764,1189.25,1189.25,4404.714285714285,3982.0,370.3774888134779,4360.58,0.0,0,0,21
"Active: 0-4:1.0M, 5-9:1.0F, 30-49:1.0M+1.0F",False,6881.28718014,17094.9260693,3329.8900000000003,3329.89,5444.45,4552.0,163.50239797711038,4122.73,0.0,0,0,20
"Active: 30-49:1.0M, 50+:1.0F",False,4128.71829,12006.185095300001,2061.36,2061.36,4326.578947368421,4128.0,209.88953639191706,2537.06,0.0,0,0,19
