misparmb,nefashot,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,c32-39 - סך הוצאות לא מזון,F_norm Sedentary cheapest- סך הוצאה נמוכה למספר הסלים,c3~ F_norm sedentary cheapest,,,misparmb,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2,c3^,zu
17954,1,3168,604,2564,634.27,TRUE,,,17954,3168,604,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
49759,1,5945,605,5340,634.27,TRUE,,,49759,5945,605,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
2659,1,11785,608,11177,634.27,TRUE,,,2659,11785,608,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
1008,1,5381,609,4772,634.27,TRUE,,,1008,5381,609,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
38745,1,2602,610,1992,634.27,TRUE,,,38745,2602,610,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
9530,1,6170,611,5559,634.27,TRUE,,,9530,6170,611,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
14951,1,13364,611,12754,634.27,TRUE,,,14951,13364,611,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
81828,1,5198,615,4584,634.27,TRUE,,,81828,5198,615,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
70532,1,9273,616,8656,634.27,TRUE,,,70532,9273,616,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
26542,1,2164,617,1546,634.27,TRUE,,,26542,2164,617,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
13441,1,7052,626,6426,634.27,TRUE,,,13441,7052,626,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
299,1,2175,627,1548,634.27,TRUE,,,299,2175,627,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
71647,1,4258,628,3631,634.27,TRUE,,,71647,4258,628,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
50211,1,3101,631,2470,634.27,TRUE,,,50211,3101,631,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
61325,1,5028,631,4397,634.27,TRUE,,,61325,5028,631,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
44396,1,9702,632,9070,634.27,TRUE,,,44396,9702,632,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
29397,1,9921,642,9280,634.27,TRUE,,,29397,9921,642,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
84442,1,7315,644,6671,634.27,TRUE,,,84442,7315,644,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
76471,1,5962,646,5316,634.27,TRUE,,,76471,5962,646,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
82230,1,5464,658,4806,634.27,TRUE,,,82230,5464,658,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
25130,1,4587,661,3927,634.27,TRUE,,,25130,4587,661,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
54338,1,5957,663,5295,634.27,TRUE,,,54338,5957,663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
24158,1,10073,663,9410,634.27,TRUE,,,24158,10073,663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
68106,1,4857,664,4193,634.27,TRUE,,,68106,4857,664,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"7,330.17","7,330.17"
82487,1,11856,717,11139,713.55,TRUE,,,82487,11856,717,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"9,874.96","9,874.96"
85902,1,10057,728,9330,713.55,TRUE,,,85902,10057,728,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"9,874.96","9,874.96"
62737,1,4796,739,4057,713.55,TRUE,,,62737,4796,739,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"9,874.96","9,874.96"
55707,1,12971,761,12211,792.83,TRUE,,,55707,12971,761,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"5,448.13","5,448.13"
57901,1,7614,796,6818,792.83,TRUE,,,57901,7614,796,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"5,448.13","5,448.13"
71704,1,4379,847,3532,872.12,TRUE,,,71704,4379,847,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
86769,1,8507,852,7654,872.12,TRUE,,,86769,8507,852,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
38174,1,5018,867,4152,872.12,TRUE,,,38174,5018,867,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
26302,1,6091,868,5223,872.12,TRUE,,,26302,6091,868,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
85308,1,6645,870,5776,872.12,TRUE,,,85308,6645,870,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"8,900.76","8,900.76"
