misparmb,c3 - סך כל ההוצאות,F_norm Active cheapest - סך הוצאה נמוכה למספר הסלים,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
27078,315,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
2766,483,"2,378.50",0,0,0,0,0,0,0,0,1,0,1,0,0,0
72124,507,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2758,566,"2,854.20",0,0,0,0,0,0,0,0,0,3,0,0,0,0
10413,594,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80283,615,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67124,757,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
10728,971,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
1065,1067,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13698,1102,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
74344,1144,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9738,1158,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
10405,1161,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
69609,1163,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67660,1187,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62323,1213,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72116,1229,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
68643,1234,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5975,1235,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9548,1277,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
5983,1285,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20982,1304,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
20941,1311,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13904,1348,"4,439.86",0,2,0,2,1,0,0,0,0,0,0,1,0,0
2741,1364,"1,823.51",0,0,0,0,0,0,0,0,0,1,0,1,0,0
85084,1383,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1024,1395,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55418,1404,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51656,1474,"3,171.33",0,0,0,0,0,0,0,0,0,0,1,0,1,1
71852,1477,"1,189.25",0,0,0,0,0,0,0,0,1,0,0,0,0,0
58164,1495,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
17764,1497,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83634,1537,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71118,1570,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
11395,1589,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
73080,1589,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35725,1622,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79590,1625,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10959,1634,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36897,1634,"1,506.38",1,0,0,0,0,0,0,0,0,1,0,0,0,0
35220,1636,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59998,1640,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5991,1644,951.40,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87734,1649,"1,189.25",0,0,0,0,0,0,0,0,0,0,1,0,0,0
42382,1687,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
46284,1693,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
60707,1716,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17681,1769,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71746,1776,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
646,1784,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3855,1788,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13409,1825,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79608,1838,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
17814,1851,"2,378.50",0,0,0,0,0,0,0,0,2,0,0,0,0,0
7278,1853,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13417,1857,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89896,1889,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
46938,1939,872.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35782,1940,"1,982.08",0,0,0,0,0,0,0,0,0,0,0,0,1,1
79582,2002,"1,109.96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
