misparmb,nefashot,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,c32-39 - סך הוצאות לא מזון,F_norm Active cheapest - סך הוצאה נמוכה למספר הסלים,c3~ F_norm active cheapest,,,misparmb,c3 - סך כל ההוצאות,food_act (c30+c31) - סך הוצאות מזון,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2,c30+c31^,zl__Fnorm+(Fnorm-(c30+c31^))
13698,1,1102,303,799,"1,109.96",TRUE,,,13698,1102,303,0,0,0,0,0,0,0,0,0,0,0,0,1,0,217.78,"2,002.15"
9738,1,1158,410,747,"1,109.96",TRUE,,,9738,1158,410,0,0,0,0,0,0,0,0,0,0,0,0,1,0,217.78,"2,002.15"
10405,1,1161,717,445,"1,109.96",TRUE,,,10405,1161,717,0,0,0,0,0,0,0,0,0,0,0,0,1,0,217.78,"2,002.15"
72116,1,1229,658,571,"1,189.25",TRUE,,,72116,1229,658,0,0,0,0,0,0,0,0,1,0,0,0,0,0,119.81,"2,258.68"
36897,2,1634,767,868,"1,506.38",TRUE,,,36897,1634,767,1,0,0,0,0,0,0,0,0,1,0,0,0,0,557.45,"2,455.31"
35782,2,1940,0,1940,"1,982.08",TRUE,,,35782,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,834.44,"3,129.72"
19133,2,2049,1076,973,"1,982.08",TRUE,,,19133,2049,1076,0,0,0,0,0,0,0,0,0,0,0,0,1,1,834.44,"3,129.72"
78733,2,2179,552,1629,"1,982.08",TRUE,,,78733,2179,552,0,0,0,0,0,0,0,0,0,0,0,0,1,1,834.44,"3,129.72"
79103,3,2988,697,2291,"3,250.61",TRUE,,,79103,2988,697,0,0,0,0,0,0,0,0,0,0,2,0,0,1,"1,097.66","5,403.57"
68957,3,3017,1373,1643,"2,854.20",TRUE,,,68957,3017,1373,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"1,031.64","4,676.75"
67462,3,3276,1445,1832,"3,012.76",TRUE,,,67462,3276,1445,0,0,0,0,0,0,0,0,1,1,0,0,0,1,"1,021.53","5,003.99"
47589,4,3657,847,2810,"3,488.46",TRUE,,,47589,3657,847,0,1,1,0,0,0,0,0,0,1,1,0,0,0,747.78,"6,229.14"
47225,4,3756,1257,2497,"3,884.88",TRUE,,,47225,3756,1257,0,0,0,0,0,1,0,1,0,0,1,0,0,1,"1,215.37","6,554.38"
