misparmb,c3,FoodNorm-active,FoodNorm-sendetary,food_actual,0 -4 min1,0 -4 min2,5 - 9 min1,5 - 9 min2,10-14 min1,10-14 min2,15 - 17 min1,15 - 17 min2,18 -29 min1,18 -29 min2,30 - 49 min1,30 - 49 min2,50+ min1,50+ min2
27078,315,"1,189.25","2,774.91","1,224.00",0,0,0,0,0,0,0,0,1,0,0,0,0,0
2766,483,"2,378.50","2,774.91","1,064.00",0,0,0,0,0,0,0,0,1,0,1,0,0,0
72124,507,951.40,"2,774.91",536.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2758,566,"2,854.20","2,774.91","5,012.00",0,0,0,0,0,0,0,0,0,3,0,0,0,0
10413,594,872.12,"2,457.78","1,671.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
80283,615,951.40,"2,457.78","2,356.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
67124,757,"1,109.96","2,457.78",354.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10728,971,"1,109.96","2,378.50","5,072.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
1065,1067,872.12,"2,378.50","1,110.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
13698,1102,"1,109.96","2,378.50","2,525.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
74344,1144,872.12,"1,902.80","1,737.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
9738,1158,"1,109.96","1,902.80","1,158.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
10405,1161,"1,109.96","1,744.23","4,851.00",0,0,0,0,0,0,0,0,0,0,0,0,1,0
69609,1163,951.40,"1,744.23","3,798.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
67660,1187,872.12,"2,616.35","1,495.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
62323,1213,872.12,"2,616.35","2,618.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
72116,1229,"1,189.25","2,616.35","1,916.00",0,0,0,0,0,0,0,0,1,0,0,0,0,0
68643,1234,951.40,"2,616.35","2,968.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
5975,1235,951.40,872.12,"1,872.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
9548,1277,"1,982.08","3,805.59",109.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5983,1285,951.40,"3,805.59","1,246.00",0,0,0,0,0,0,0,0,0,1,0,0,0,0
20982,1304,"1,982.08","3,805.59","3,243.00",0,0,0,0,0,0,0,0,0,0,0,0,1,1
20941,1311,872.12,"3,805.59",627.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13904,1348,"4,439.86",634.27,141.00,0,2,0,2,1,0,0,0,0,0,0,1,0,0
2741,1364,"1,823.51","1,506.38",678.00,0,0,0,0,0,0,0,0,0,1,0,1,0,0
85084,1383,872.12,"1,506.38","2,289.00",0,0,0,0,0,0,0,0,0,0,0,0,0,1
